epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6876,1.65315,3.58895,2.75288,1.59998,0,0.93828,0.28655,0.39369,0.24353,0.89282,0.24273,0.31126,0.12496,1.19076,2.9977,2.61509,1.13319,0,0.00046826,0.00046826,0.00046826
2,34.3677,1.23616,2.50595,1.38869,1.2702,0,0.47186,0.54377,0.52698,0.32688,0.45579,0.51831,0.48876,0.24224,1.23936,2.57819,1.39744,1.27021,0,0.000939917,0.000939917,0.000939917
3,43.1225,1.15146,2.39137,1.13658,1.21447,0,0.65483,0.61032,0.64191,0.43557,0.62538,0.58882,0.59145,0.29829,1.10631,2.78231,1.11929,1.19096,0,0.00140686,0.00140686,0.00140686
4,52.0039,1.13578,2.35819,1.08427,1.20653,0,0.75843,0.60241,0.70511,0.48601,0.75025,0.59072,0.69021,0.3798,0.98531,2.32403,1.03898,1.12098,0,0.00140778,0.00140778,0.00140778
5,60.5127,1.07445,2.25837,1.00817,1.16858,0,0.66343,0.64761,0.70296,0.50085,0.65443,0.63669,0.67743,0.37936,0.99149,2.38737,1.05241,1.09433,0,0.00140071,0.00140071,0.00140071
6,69.4254,1.05511,2.21272,0.98321,1.15563,0,0.67429,0.70361,0.71442,0.50544,0.66186,0.69021,0.69185,0.38624,1.02005,2.28112,0.98935,1.10502,0,0.00139363,0.00139363,0.00139363
7,77.9741,1.03027,2.16607,0.93917,1.13376,0,0.68054,0.69297,0.72477,0.51547,0.67266,0.68528,0.70726,0.40035,0.98848,2.27192,0.9634,1.08831,0,0.00138656,0.00138656,0.00138656
8,87.0614,1.04245,2.20445,0.91417,1.14003,0,0.69458,0.72899,0.76641,0.5694,0.68807,0.72144,0.75472,0.46392,0.94867,2.10567,0.92058,1.08997,0,0.00137949,0.00137949,0.00137949
9,95.6886,1.02334,2.12575,0.87569,1.12788,0,0.61534,0.6804,0.69038,0.48107,0.5927,0.64553,0.64267,0.34197,1.02821,2.43596,1.00391,1.12219,0,0.00137241,0.00137241,0.00137241
10,104.14,1.01212,2.11105,0.86453,1.12544,0,0.61225,0.72188,0.68645,0.48738,0.60871,0.71624,0.67327,0.38694,0.96718,2.12753,1.38618,1.06587,0,0.00136534,0.00136534,0.00136534
11,112.563,0.99429,2.11686,0.83699,1.11672,0,0.63839,0.7613,0.76367,0.56215,0.65502,0.7268,0.74657,0.45362,1.01141,2.15144,0.89086,1.11661,0,0.00135826,0.00135826,0.00135826
12,120.951,0.98646,2.09591,0.82676,1.1088,0,0.61938,0.71845,0.706,0.50911,0.60961,0.70756,0.69001,0.38394,0.96516,2.15962,0.86914,1.09093,0,0.00135119,0.00135119,0.00135119
13,130.519,0.97777,2.04386,0.81097,1.09929,0,0.67654,0.75813,0.76879,0.57508,0.66968,0.74806,0.76031,0.47235,0.93567,2.06183,0.80949,1.06587,0,0.00134412,0.00134412,0.00134412
14,138.911,0.98407,2.06405,0.79054,1.10424,0,0.76235,0.66172,0.74139,0.54378,0.74946,0.64743,0.71981,0.4136,0.95107,2.24475,0.86583,1.07489,0,0.00133704,0.00133704,0.00133704
15,147.95,0.97066,2.06564,0.77604,1.09793,0,0.7375,0.7439,0.78312,0.57945,0.74069,0.73669,0.77332,0.48057,0.98528,2.01026,0.80378,1.09802,0,0.00132997,0.00132997,0.00132997
16,155.966,0.9809,2.06161,0.76868,1.1052,0,0.76819,0.7133,0.77222,0.56929,0.76402,0.70877,0.76391,0.47753,0.982,2.00312,0.77934,1.07725,0,0.0013229,0.0013229,0.0013229
17,164.541,0.95512,2.02476,0.74118,1.08849,0,0.72055,0.72221,0.76014,0.55438,0.71271,0.71725,0.75223,0.45746,0.93594,2.04842,0.85596,1.05642,0,0.00131582,0.00131582,0.00131582
