epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.382,1.52156,2.71893,1.56925,0.42858,0.5809,0.45639,0.27649,1.21065,2.70036,1.26745,0.00046826,0.00046826,0.00046826
2,29.993,1.24646,1.36362,1.39172,0.53313,0.63144,0.567,0.37126,1.12235,1.26989,1.36,0.000939917,0.000939917,0.000939917
3,40.2957,1.17614,1.14886,1.32349,0.71941,0.72092,0.76341,0.50976,1.12729,1.03666,1.32204,0.00140686,0.00140686,0.00140686
4,49.3123,1.15649,1.08407,1.30708,0.68364,0.68923,0.71657,0.48152,1.05232,0.9854,1.29525,0.00140778,0.00140778,0.00140778
5,58.2831,1.10321,0.99329,1.26192,0.74902,0.59866,0.68449,0.47136,1.07336,1.04203,1.27485,0.00140071,0.00140071,0.00140071
6,66.3833,1.07986,0.97119,1.24566,0.71966,0.69691,0.74458,0.52831,1.01252,0.91333,1.20502,0.00139363,0.00139363,0.00139363
7,75.4847,1.06936,0.92966,1.23701,0.73807,0.6491,0.73836,0.52446,0.9846,0.91181,1.25429,0.00138656,0.00138656,0.00138656
8,84.1208,1.04912,0.90357,1.22758,0.67938,0.63599,0.6789,0.46685,1.09065,1.14095,1.32677,0.00137949,0.00137949,0.00137949
9,93.095,1.03654,0.871,1.21803,0.66099,0.73716,0.739,0.52118,1.01523,1.02418,1.28879,0.00137241,0.00137241,0.00137241
10,101.938,1.0419,0.8629,1.22453,0.69567,0.73415,0.75889,0.54437,0.974,0.93028,1.2201,0.00136534,0.00136534,0.00136534
11,109.981,1.02078,0.81835,1.21665,0.77687,0.71348,0.80284,0.59528,0.97533,0.82838,1.24681,0.00135826,0.00135826,0.00135826
12,118.608,1.02866,0.8138,1.21701,0.71218,0.76086,0.78508,0.57371,0.96614,0.77856,1.23746,0.00135119,0.00135119,0.00135119
13,127.407,0.98972,0.8037,1.18879,0.77133,0.75727,0.82042,0.5924,0.9581,0.75052,1.22072,0.00134412,0.00134412,0.00134412
14,136.577,1.01644,0.79188,1.20864,0.76014,0.73414,0.79505,0.5761,0.98355,0.78514,1.25775,0.00133704,0.00133704,0.00133704
15,144.701,1.00733,0.78255,1.19954,0.72953,0.71617,0.77953,0.57906,0.95946,0.80831,1.25335,0.00132997,0.00132997,0.00132997
16,153.597,0.99563,0.75769,1.19696,0.78654,0.74736,0.80903,0.59478,0.94643,0.77773,1.23293,0.0013229,0.0013229,0.0013229
17,161.983,0.97159,0.73532,1.18248,0.7829,0.75616,0.80923,0.59688,0.92649,0.74615,1.20968,0.00131582,0.00131582,0.00131582
18,170.622,0.97331,0.74063,1.18142,0.76161,0.75573,0.80536,0.60508,0.91804,0.75233,1.20739,0.00130875,0.00130875,0.00130875
19,179.279,0.95987,0.73828,1.17947,0.76826,0.73751,0.80125,0.58066,0.97732,0.77551,1.27067,0.00130168,0.00130168,0.00130168
20,187.836,0.96338,0.73139,1.17621,0.75612,0.76447,0.81211,0.59993,0.97663,0.73239,1.27091,0.0012946,0.0012946,0.0012946
21,196.922,0.97024,0.7306,1.18785,0.76828,0.74843,0.79525,0.58627,0.93887,0.74097,1.25316,0.00128753,0.00128753,0.00128753
22,206.146,0.9608,0.71612,1.17865,0.75794,0.78605,0.81524,0.61102,0.92682,0.70977,1.24319,0.00128046,0.00128046,0.00128046
23,214.755,0.94224,0.6908,1.16381,0.83329,0.72491,0.80643,0.60492,0.90904,0.71551,1.21189,0.00127338,0.00127338,0.00127338
24,223.449,0.94556,0.69298,1.1694,0.79187,0.77674,0.81244,0.61531,0.90649,0.69269,1.19724,0.00126631,0.00126631,0.00126631
25,232.561,0.93876,0.69971,1.16964,0.748,0.73857,0.78597,0.59434,0.921,0.72538,1.21461,0.00125923,0.00125923,0.00125923
26,240.371,0.93266,0.68542,1.15802,0.79395,0.71706,0.80032,0.59959,0.92554,0.71584,1.24781,0.00125216,0.00125216,0.00125216
27,249.032,0.95393,0.68166,1.17348,0.72306,0.75908,0.78934,0.58975,0.92716,0.73364,1.21476,0.00124509,0.00124509,0.00124509
28,257.568,0.94382,0.68455,1.16059,0.82746,0.73587,0.81905,0.62256,0.90652,0.71617,1.19782,0.00123801,0.00123801,0.00123801
29,266.228,0.92603,0.67333,1.16285,0.78083,0.74039,0.79753,0.59953,0.92301,0.70396,1.23756,0.00123094,0.00123094,0.00123094
30,275.487,0.9089,0.67062,1.14727,0.78075,0.70551,0.75366,0.56998,0.91974,0.80825,1.22403,0.00122387,0.00122387,0.00122387
31,284.471,0.90498,0.66255,1.14195,0.79419,0.74395,0.80635,0.60648,0.92219,0.68652,1.25192,0.00121679,0.00121679,0.00121679
32,293.457,0.89361,0.65208,1.13474,0.755,0.73957,0.79119,0.59496,0.91878,0.69028,1.28035,0.00120972,0.00120972,0.00120972
33,302.264,0.90746,0.65246,1.15057,0.75511,0.7466,0.80381,0.59605,0.91518,0.68744,1.24307,0.00120265,0.00120265,0.00120265
34,310.228,0.90397,0.64095,1.14653,0.77651,0.74388,0.78035,0.58162,0.94886,0.73429,1.27986,0.00119557,0.00119557,0.00119557
35,318.724,0.91223,0.64719,1.15139,0.74058,0.784,0.81061,0.61066,0.91056,0.67866,1.24486,0.0011885,0.0011885,0.0011885
36,327.294,0.89248,0.63819,1.14088,0.77426,0.75319,0.80603,0.60438,0.93285,0.72415,1.27857,0.00118143,0.00118143,0.00118143
37,335.877,0.88058,0.63554,1.13237,0.76377,0.7534,0.81177,0.61464,0.90108,0.6874,1.22162,0.00117435,0.00117435,0.00117435
38,344.738,0.88684,0.6185,1.1295,0.78368,0.72766,0.7806,0.58732,0.90724,0.73432,1.22367,0.00116728,0.00116728,0.00116728
39,352.921,0.87612,0.61301,1.12354,0.75763,0.74517,0.77012,0.56513,0.91609,0.74607,1.25716,0.00116021,0.00116021,0.00116021
40,361.773,0.88288,0.62131,1.13173,0.75301,0.75437,0.78983,0.60039,0.90437,0.69368,1.25929,0.00115313,0.00115313,0.00115313
41,370.416,0.89372,0.61292,1.13334,0.78402,0.72931,0.76872,0.57761,0.92642,0.76821,1.25443,0.00114606,0.00114606,0.00114606
