epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4904,1.70864,2.55428,1.76797,0.30861,0.51434,0.39588,0.24447,1.28893,1.48343,1.33529,0.00046826,0.00046826,0.00046826
2,25.4875,1.2871,1.37911,1.37048,0.53543,0.61332,0.58409,0.37107,1.24448,1.22387,1.22462,0.000939917,0.000939917,0.000939917
3,34.0507,1.20203,1.20581,1.27185,0.60702,0.68381,0.67088,0.4573,1.09971,1.06348,1.14791,0.00140686,0.00140686,0.00140686
4,43.1809,1.1611,1.1015,1.22455,0.6865,0.6691,0.70761,0.48865,1.07325,1.00656,1.15088,0.00140778,0.00140778,0.00140778
5,51.4808,1.12449,1.04783,1.20441,0.63068,0.69742,0.71141,0.49883,1.0654,1.01042,1.12176,0.00140071,0.00140071,0.00140071
6,59.6112,1.09426,1.01121,1.1823,0.67712,0.68754,0.72269,0.51778,1.00409,0.95102,1.10228,0.00139363,0.00139363,0.00139363
7,68.5614,1.05462,0.9422,1.15815,0.6431,0.64174,0.67698,0.48682,0.97108,1.01686,1.0869,0.00138656,0.00138656,0.00138656
8,76.9278,1.06453,0.92361,1.15988,0.67312,0.68475,0.70981,0.51169,1.00515,0.95288,1.09784,0.00137949,0.00137949,0.00137949
9,85.8475,1.05741,0.89603,1.15176,0.69113,0.7023,0.7519,0.54659,0.99091,0.90877,1.12442,0.00137241,0.00137241,0.00137241
10,95.0325,1.04336,0.87515,1.14835,0.76263,0.72494,0.79226,0.59092,0.94186,0.81448,1.06008,0.00136534,0.00136534,0.00136534
11,102.744,1.02872,0.84347,1.1389,0.72781,0.69094,0.76855,0.56008,1.00769,0.85916,1.10439,0.00135826,0.00135826,0.00135826
12,111.351,1.02715,0.84973,1.13624,0.71272,0.6774,0.74525,0.54449,0.98926,0.85943,1.0864,0.00135119,0.00135119,0.00135119
13,120.085,1.00301,0.82843,1.12017,0.7506,0.6866,0.77724,0.57118,0.96922,0.79481,1.08336,0.00134412,0.00134412,0.00134412
14,128.847,1.0162,0.81395,1.12854,0.76386,0.6954,0.77079,0.56487,0.95576,0.77646,1.08223,0.00133704,0.00133704,0.00133704
15,137.364,1.00923,0.80123,1.12458,0.76057,0.72131,0.77986,0.58048,0.94116,0.78423,1.06962,0.00132997,0.00132997,0.00132997
16,145.831,1.00177,0.78499,1.12311,0.78569,0.71118,0.79088,0.58444,0.97715,0.75671,1.10603,0.0013229,0.0013229,0.0013229
17,154.218,0.98641,0.76185,1.11284,0.72235,0.74812,0.76174,0.56234,0.9452,0.79416,1.06353,0.00131582,0.00131582,0.00131582
18,163.314,0.97914,0.7656,1.1083,0.71748,0.7384,0.76257,0.57019,0.94326,0.78932,1.0688,0.00130875,0.00130875,0.00130875
19,172.032,0.97145,0.77176,1.10984,0.74581,0.73717,0.77794,0.58097,0.93434,0.75012,1.0656,0.00130168,0.00130168,0.00130168
20,180.459,0.9775,0.75215,1.11097,0.79157,0.69491,0.79528,0.59357,0.93357,0.72891,1.07473,0.0012946,0.0012946,0.0012946
21,188.661,0.97654,0.75799,1.10977,0.73559,0.73,0.78838,0.57654,0.94663,0.74615,1.06669,0.00128753,0.00128753,0.00128753
22,197.838,0.96748,0.74972,1.10681,0.74213,0.75147,0.79649,0.59264,0.93696,0.71806,1.0608,0.00128046,0.00128046,0.00128046
23,206.374,0.9565,0.73009,1.09635,0.76638,0.6703,0.7507,0.56725,0.91795,0.77036,1.04904,0.00127338,0.00127338,0.00127338
24,215.339,0.96299,0.72293,1.1063,0.71994,0.77566,0.79193,0.59847,0.93428,0.7402,1.05804,0.00126631,0.00126631,0.00126631
25,224.532,0.96032,0.7354,1.1047,0.69332,0.71933,0.74467,0.56095,0.94007,0.77378,1.06109,0.00125923,0.00125923,0.00125923
26,232.176,0.94213,0.71944,1.08656,0.75784,0.73877,0.79788,0.59246,0.95059,0.75834,1.07102,0.00125216,0.00125216,0.00125216
27,240.79,0.96067,0.70958,1.09699,0.77514,0.72166,0.79486,0.60281,0.92733,0.73888,1.04625,0.00124509,0.00124509,0.00124509
28,249.095,0.94724,0.71406,1.09046,0.70495,0.74597,0.77736,0.58063,0.94028,0.73451,1.03842,0.00123801,0.00123801,0.00123801
29,257.65,0.93532,0.70379,1.08859,0.75768,0.70382,0.76497,0.57701,0.92534,0.75559,1.06731,0.00123094,0.00123094,0.00123094
30,266.941,0.93032,0.70312,1.08229,0.74271,0.71989,0.76696,0.57369,0.94103,0.74899,1.05075,0.00122387,0.00122387,0.00122387
31,275.618,0.91771,0.70153,1.07299,0.70328,0.77366,0.76943,0.57405,0.96781,0.74943,1.08285,0.00121679,0.00121679,0.00121679
32,284.069,0.91888,0.69643,1.07321,0.75986,0.75111,0.80102,0.59093,0.97387,0.72535,1.08871,0.00120972,0.00120972,0.00120972
33,292.937,0.9262,0.68768,1.08093,0.77645,0.71099,0.79418,0.59919,0.91372,0.69988,1.04272,0.00120265,0.00120265,0.00120265
34,300.496,0.9272,0.68083,1.08102,0.77156,0.74271,0.79287,0.59413,0.96104,0.72843,1.06829,0.00119557,0.00119557,0.00119557
35,308.734,0.92079,0.6714,1.07947,0.78505,0.71493,0.79419,0.59955,0.92615,0.69609,1.06049,0.0011885,0.0011885,0.0011885
36,317.298,0.91219,0.66914,1.0731,0.75588,0.72608,0.79357,0.6021,0.902,0.70071,1.03382,0.00118143,0.00118143,0.00118143
37,325.851,0.89741,0.66316,1.06819,0.83738,0.69879,0.80128,0.59976,0.91445,0.6997,1.04534,0.00117435,0.00117435,0.00117435
38,334.277,0.89998,0.65107,1.0659,0.75737,0.72404,0.77511,0.58349,0.91439,0.72033,1.03793,0.00116728,0.00116728,0.00116728
