epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0803,1.27834,2.56254,1.68171,1.28489,0,0.25082,0.80215,0.23421,0.14639,0.24269,0.78546,0.22046,0.08916,1.21947,2.60004,11.8708,1.25366,0,0.00046826,0.00046826,0.00046826
2,26.664,1.17277,2.3655,0.98267,1.21509,0,0.71138,0.64541,0.70397,0.48065,0.69892,0.63019,0.6802,0.3508,1.09452,2.53541,0.9068,1.21308,0,0.000942731,0.000942731,0.000942731
3,35.1826,1.14852,2.3202,0.92628,1.19193,0,0.66155,0.68791,0.71304,0.46451,0.65414,0.68038,0.69635,0.36514,1.17613,2.72879,1.06876,1.31742,0,0.00141532,0.00141532,0.00141532
4,43.4068,1.13712,2.30117,0.89736,1.19116,0,0.49553,0.63842,0.50813,0.34333,0.49256,0.62991,0.49299,0.25841,nan,nan,nan,nan,0,0.00142055,0.00142055,0.00142055
5,51.7768,1.09737,2.22148,0.87393,1.158,0,0.71431,0.68858,0.74238,0.5079,0.69535,0.66625,0.70572,0.37777,1.10009,2.55173,0.83904,1.20088,0,0.00141773,0.00141773,0.00141773
6,60.7189,1.07529,2.17106,0.84943,1.1484,0,0.70092,0.5159,0.56722,0.38536,0.68498,0.49904,0.54052,0.26033,1.06976,2.35516,1.21953,1.21503,0,0.00141491,0.00141491,0.00141491
7,68.6261,1.0612,2.12473,0.81459,1.14186,0,0.64397,0.6531,0.67581,0.47596,0.63853,0.64011,0.66285,0.37989,1.0224,2.16433,0.93579,1.17797,0,0.00141209,0.00141209,0.00141209
8,77.105,1.05535,2.15068,0.81155,1.13894,0,0.72383,0.72754,0.75737,0.53364,0.71558,0.70816,0.73589,0.41815,1.03082,2.19365,0.80358,1.17724,0,0.00140927,0.00140927,0.00140927
9,85.1959,1.0369,2.07738,0.77122,1.12792,0,0.70236,0.69429,0.72848,0.51847,0.68754,0.67717,0.70296,0.39491,1.03162,2.3582,0.86974,1.1911,0,0.00140646,0.00140646,0.00140646
10,93.784,1.0399,2.07397,0.77186,1.13452,0,0.73847,0.69354,0.74304,0.53694,0.73896,0.68845,0.73458,0.4256,0.98616,2.13133,0.83976,1.15413,0,0.00140364,0.00140364,0.00140364
11,101.489,1.0142,2.05857,0.7374,1.12102,0,0.76503,0.67257,0.75893,0.54624,0.76312,0.6691,0.75501,0.46218,0.99568,2.06283,0.79346,1.16963,0,0.00140082,0.00140082,0.00140082
12,109.871,1.01849,2.05403,0.75123,1.12085,0,0.7461,0.7196,0.77804,0.55237,0.74166,0.71257,0.76641,0.45266,1.02181,2.08818,0.75373,1.17491,0,0.001398,0.001398,0.001398
13,118.009,1.00116,2.01448,0.74248,1.10826,0,0.70787,0.71652,0.74835,0.53453,0.70337,0.71265,0.73788,0.42602,1.0046,2.07437,0.7453,1.17495,0,0.00139518,0.00139518,0.00139518
14,127.085,1.00725,2.01983,0.73531,1.11342,0,0.71888,0.75219,0.79148,0.57816,0.71035,0.7428,0.77799,0.46795,0.97287,2.02929,0.7224,1.16543,0,0.00139237,0.00139237,0.00139237
15,135.193,1.00446,2.03726,0.73454,1.11045,0,0.73801,0.76661,0.8047,0.58548,0.73232,0.75145,0.79279,0.47118,0.98883,2.07559,0.7407,1.16785,0,0.00138955,0.00138955,0.00138955
16,143.038,0.99937,2.021,0.71426,1.1084,0,0.76635,0.69408,0.72791,0.53156,0.75268,0.67562,0.70177,0.39506,0.97295,2.26285,0.81159,1.14297,0,0.00138673,0.00138673,0.00138673
17,151.111,0.98121,1.98507,0.70487,1.09621,0,0.76633,0.7255,0.78526,0.55727,0.76298,0.71406,0.76751,0.45951,0.98019,2.02979,0.70839,1.15167,0,0.00138391,0.00138391,0.00138391
18,158.88,0.98425,1.98281,0.69911,1.09521,0,0.75028,0.73783,0.78385,0.55904,0.7411,0.72658,0.76658,0.43532,1.00572,2.18169,0.74593,1.17029,0,0.00138109,0.00138109,0.00138109
19,167.357,0.9648,1.95643,0.69895,1.09443,0,0.77978,0.69066,0.76166,0.55656,0.77328,0.68243,0.74779,0.46188,0.95145,1.98828,0.7609,1.13659,0,0.00137828,0.00137828,0.00137828
20,176.183,0.96891,1.98037,0.68651,1.09321,0,0.73345,0.71855,0.75739,0.55833,0.72519,0.70936,0.74261,0.44936,0.94473,1.98757,0.71554,1.12957,0,0.00137546,0.00137546,0.00137546
21,184.901,0.9665,1.95689,0.6858,1.09414,0,0.70112,0.73316,0.74045,0.52918,0.69448,0.72537,0.72863,0.43634,0.96663,1.97295,0.81106,1.14809,0,0.00137264,0.00137264,0.00137264
22,193.528,0.96506,1.96624,0.68999,1.09541,0,0.72584,0.76141,0.78031,0.57095,0.71779,0.75244,0.76896,0.46332,0.94642,1.97829,0.74984,1.14377,0,0.00136982,0.00136982,0.00136982
23,201.919,0.94832,1.92778,0.6745,1.07839,0,0.71658,0.64263,0.68538,0.49192,0.71387,0.63181,0.67253,0.39137,0.96293,2.04975,0.87639,1.15099,0,0.001367,0.001367,0.001367
24,210.719,0.94927,1.93789,0.66982,1.08863,0,0.76102,0.74628,0.80608,0.59758,0.75173,0.73864,0.79168,0.49146,0.94545,1.97742,0.69118,1.13951,0,0.00136419,0.00136419,0.00136419
25,219.289,0.95364,1.95074,0.68175,1.09146,0,0.75913,0.73779,0.78328,0.57087,0.75546,0.72714,0.77338,0.48363,0.98088,1.95692,0.7041,1.15501,0,0.00136137,0.00136137,0.00136137
26,226.98,0.93561,1.90797,0.65928,1.07311,0,0.75883,0.74339,0.77728,0.55968,0.74714,0.72793,0.76258,0.45187,0.97228,1.9699,0.70584,1.1596,0,0.00135855,0.00135855,0.00135855
27,235.2,0.9542,1.94654,0.65975,1.08346,0,0.77367,0.77124,0.81635,0.60708,0.76638,0.7638,0.80179,0.49453,0.92744,1.95574,0.6541,1.11867,0,0.00135573,0.00135573,0.00135573
28,243.513,0.93823,1.91185,0.66385,1.07454,0,0.77222,0.71672,0.74325,0.54767,0.77097,0.71105,0.73572,0.44593,0.94347,1.95056,0.78652,1.13574,0,0.00135292,0.00135292,0.00135292
29,252,0.93278,1.92488,0.65713,1.0819,0,0.79619,0.64979,0.74404,0.53905,0.7861,0.64122,0.72966,0.43392,0.95925,2.06434,0.77078,1.14614,0,0.0013501,0.0013501,0.0013501
30,261.235,0.92229,1.87892,0.65979,1.06773,0,0.76288,0.70516,0.76226,0.55185,0.77119,0.68687,0.75279,0.46499,0.95613,1.94973,0.73853,1.14214,0,0.00134728,0.00134728,0.00134728
31,269.75,0.91585,1.88635,0.66302,1.06532,0,0.79233,0.73745,0.7984,0.59244,0.78315,0.72907,0.78328,0.46495,0.93593,2.00864,0.67649,1.13804,0,0.00134446,0.00134446,0.00134446
32,278.126,0.90964,1.83879,0.65685,1.05864,0,0.78586,0.75417,0.81162,0.59501,0.78071,0.74745,0.80243,0.48593,0.95811,2.00342,0.70745,1.14556,0,0.00134164,0.00134164,0.00134164
33,286.863,0.91749,1.88361,0.65201,1.06569,0,0.783,0.72139,0.80096,0.58143,0.77655,0.70776,0.78585,0.4741,0.95256,1.96524,0.68854,1.14628,0,0.00133883,0.00133883,0.00133883
34,294.278,0.90534,1.87248,0.63683,1.06143,0,0.78541,0.69358,0.75911,0.55286,0.78626,0.68361,0.7509,0.45907,0.96322,1.93918,0.75541,1.15789,0,0.00133601,0.00133601,0.00133601
35,302.334,0.91505,1.88096,0.63315,1.06368,0,0.7763,0.75166,0.79584,0.58435,0.76695,0.7493,0.78893,0.49095,0.94818,1.91509,0.64645,1.13179,0,0.00133319,0.00133319,0.00133319
36,310.685,0.89774,1.84298,0.62868,1.05646,0,0.74686,0.69438,0.72654,0.52922,0.74227,0.68313,0.71279,0.43626,0.98464,1.92219,0.79542,1.16286,0,0.00133037,0.00133037,0.00133037
