epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6272,0.98111,2.50405,0.76384,1.07691,0,0.74301,0.74351,0.78665,0.57239,0.72646,0.72398,0.75984,0.4187,1.01303,2.5216,0.78104,1.17312,0,0.00142513,0.00142513,0.00142513
2,18.23,0.91076,1.99372,0.63228,1.05778,0,0.75829,0.75046,0.78555,0.57747,0.78747,0.71145,0.77172,0.46572,0.97063,2.09237,0.70272,1.15754,0,0.00141354,0.00141354,0.00141354
3,28.1181,0.88638,1.91841,0.59865,1.04531,0,0.70052,0.77586,0.75332,0.57183,0.70495,0.75084,0.74297,0.45457,0.92268,1.98404,0.68817,1.13043,0,0.00139438,0.00139438,0.00139438
4,37.1151,0.87555,1.87409,0.58837,1.04646,0,0.74531,0.72717,0.75295,0.56099,0.74248,0.72396,0.74619,0.46761,0.94418,1.98965,0.74724,1.14257,0,0.00136785,0.00136785,0.00136785
5,46.7879,0.86097,1.85565,0.57433,1.03171,0,0.81097,0.67533,0.73888,0.54476,0.8044,0.66749,0.72642,0.43901,0.97338,1.98874,0.78338,1.17051,0,0.00133423,0.00133423,0.00133423
6,55.7327,0.84803,1.82207,0.57149,1.03268,0,0.72087,0.70204,0.72364,0.53873,0.71243,0.68832,0.70858,0.42152,0.94796,1.9957,0.75594,1.1497,0,0.00129391,0.00129391,0.00129391
7,65.5732,0.8387,1.81811,0.55481,1.02702,0,0.78392,0.7301,0.77277,0.57953,0.77815,0.72153,0.76194,0.48088,0.94389,1.92707,0.72524,1.14279,0,0.00124731,0.00124731,0.00124731
8,74.7137,0.84585,1.82954,0.55507,1.02866,0,0.74937,0.77383,0.77642,0.5858,0.74581,0.76987,0.76997,0.49306,0.91153,1.89239,0.68768,1.11522,0,0.00119496,0.00119496,0.00119496
9,84.1682,0.8346,1.79943,0.54252,1.02134,0,0.76893,0.70562,0.74845,0.57128,0.76362,0.70058,0.73853,0.46433,0.90766,1.89746,0.70943,1.1166,0,0.00113742,0.00113742,0.00113742
10,93.2259,0.83777,1.79141,0.54393,1.01969,0,0.7414,0.70473,0.72744,0.54226,0.72951,0.69387,0.71673,0.44973,0.96295,1.91769,0.77178,1.15616,0,0.00107532,0.00107532,0.00107532
11,102.409,0.82567,1.79033,0.53017,1.01625,0,0.79343,0.75843,0.78471,0.59504,0.78548,0.74898,0.77555,0.50074,0.94094,1.87151,0.71279,1.14723,0,0.00100935,0.00100935,0.00100935
12,111.961,0.81098,1.76226,0.51815,1.00551,0,0.80484,0.71924,0.77041,0.5822,0.80079,0.71488,0.76369,0.47754,0.9474,1.92604,0.73699,1.1492,0,0.00094023,0.00094023,0.00094023
13,121.341,0.80557,1.77643,0.53045,1.00961,0,0.77804,0.75107,0.77318,0.59451,0.77633,0.74919,0.76841,0.48787,0.91903,1.9008,0.67228,1.13605,0,0.000868712,0.000868712,0.000868712
14,131.069,0.79222,1.74385,0.51648,0.99329,0,0.8139,0.66579,0.74018,0.56619,0.80744,0.65579,0.72719,0.47353,0.9173,1.89153,0.74594,1.12903,0,0.000795584,0.000795584,0.000795584
15,140.714,0.79425,1.75073,0.50055,0.99767,0,0.78338,0.71833,0.76582,0.59301,0.77576,0.7188,0.7568,0.49421,0.87799,1.83372,0.68314,1.10333,0,0.000721645,0.000721645,0.000721645
16,150.17,0.79638,1.73874,0.49936,0.99835,0,0.77785,0.77098,0.79126,0.61491,0.77397,0.76589,0.78466,0.50307,0.87725,1.85266,0.65561,1.10581,0,0.000647706,0.000647706,0.000647706
17,158.373,0.78494,1.73318,0.49038,0.99237,0,0.77465,0.74017,0.76422,0.58707,0.76923,0.73663,0.75386,0.49017,0.88048,1.83519,0.69156,1.10271,0,0.000574578,0.000574578,0.000574578
18,168.075,0.77233,1.71943,0.48626,0.98621,0,0.76191,0.76337,0.76418,0.59435,0.75414,0.75369,0.75464,0.487,0.88319,1.8393,0.64866,1.10185,0,0.00050306,0.00050306,0.00050306
19,177.421,0.7693,1.70255,0.47528,0.98508,0,0.77538,0.74664,0.75455,0.58475,0.76561,0.74598,0.74659,0.48945,0.87923,1.82624,0.69578,1.10307,0,0.000433938,0.000433938,0.000433938
20,187.213,0.76818,1.72049,0.47418,0.98754,0,0.80509,0.71068,0.74674,0.57975,0.80274,0.69704,0.73799,0.48216,0.89085,1.82596,0.71331,1.11217,0,0.000367968,0.000367968,0.000367968
21,197.533,0.74252,1.67349,0.45406,0.99003,0,0.74566,0.78587,0.78118,0.60743,0.74237,0.77764,0.77421,0.51381,0.88885,1.81906,0.65278,1.1058,0,0.000305872,0.000305872,0.000305872
22,205.176,0.72186,1.62176,0.42888,0.97797,0,0.78833,0.7498,0.77758,0.60176,0.78415,0.74174,0.76648,0.50284,0.8784,1.8242,0.66506,1.10367,0,0.000248332,0.000248332,0.000248332
